date,open,high,low,close,volume,change_percent,avg_vol_20d
2011/02/01,119.1,119.94,119.1,119.86,2217,,
2011/02/02,120.06,120.24,120.06,120.24,3800,,
2011/02/03,120.2,121.03,120.2,121.03,0,,
2011/02/04,121.77,121.9,121.77,121.9,0,,
2011/02/07,122.1,123.29,122.1,123.29,4,,
2011/02/08,122.54,122.54,122.39,122.39,50,,
2011/02/09,122.44,122.44,121.95,121.95,0,,
2011/02/10,121.88,122.44,121.88,122.44,3260,,
2011/02/11,122.29,123.28,122.22,123.28,117,,
2011/02/14,123.89,124.23,123.89,124.23,0,,
2011/02/15,124.05,124.06,123.74,124.06,14500,,
2011/02/16,124.04,124.33,124.04,124.33,20359,,
2011/02/17,124.38,124.43,124,124.43,20,,
2011/02/18,124.78,124.78,124.37,124.37,80,,
2011/02/21,124.03,124.13,123,123,6460,,
2011/02/22,123.09,123.09,122.51,122.52,1300,,
2011/02/23,121.55,121.55,120.35,120.35,0,,
2011/02/24,119.69,120.04,119.69,120.04,6,,
2011/02/25,120.18,121.53,120.18,121.36,2134,,
2011/02/28,121.42,122.9,121.27,122.01,3050,,
2011/03/01,122.73,122.75,121.43,121.43,513,,
2011/03/02,120.45,120.53,119.9,120.26,18795,,
2011/03/03,120.75,121.38,120.75,120.86,4030,,
2011/03/04,121.04,121.04,120.29,120.29,0,,
2011/03/07,119.3,119.3,119.3,119.3,0,,
2011/03/08,120.09,120.41,119.93,120.41,39,,
2011/03/09,120.3,120.3,119.83,119.83,0,,
2011/03/10,119.47,119.47,118.93,118.93,0,,
2011/03/11,117.47,117.94,117.4,117.93,656,,
2011/03/14,116.58,116.58,115.15,115.18,7093,,
2011/03/15,113.6,113.69,111.95,113.69,5015,,
2011/03/16,114.4,114.4,112.65,112.65,8544,,
2011/03/17,113.44,113.9,113.44,113.9,0,,
2011/03/18,114.04,114.04,113.68,113.68,0,,
2011/03/21,114.95,115.49,114.95,115.3,3540,,
2011/03/22,115.2,115.36,114.88,115.18,484,,
2011/03/23,114.88,115.69,114.88,115.69,500,,
2011/03/24,115.86,116.47,115.86,116.39,1510,,
2011/03/25,116.97,117.46,116.97,117.46,0,,
2011/03/28,117.43,117.56,117.17,117.17,8,,
2011/03/29,117.03,117.18,116.6,117.18,13500,,
2011/03/30,118.34,118.46,118.17,118.28,14041,,
2011/03/31,118.13,118.13,117.41,117.41,500,,
2011/04/01,117.83,118.79,117.78,118.62,2596,,
2011/04/04,118.09,118.24,118.08,118.16,13079,,
2011/04/05,118.08,118.24,118.08,118.15,331,,
2011/04/06,117.78,117.78,117.47,117.47,0,,
2011/04/07,117.79,118.2,117.14,117.14,502,,
2011/04/08,117.51,117.51,117.14,117.14,0,,
2011/04/11,117.01,117.01,116.95,116.95,0,,
2011/04/12,116.02,116.02,115,115.06,2010,,
2011/04/13,115.3,115.58,115.3,115.58,1527,,
2011/04/14,115.16,115.16,115.02,115.09,3500,,
2011/04/15,115.34,115.83,115.18,115.83,195,,
2011/04/18,116.28,116.28,115.27,115.27,3,,
2011/04/19,115.56,115.56,115.29,115.29,0,,
2011/04/20,116.05,116.49,116.05,116.49,30,,
2011/04/21,116.45,116.62,116.45,116.62,0,,
2011/04/26,117.06,117.06,117.06,117.06,0,,
2011/04/27,116.78,116.81,116.67,116.67,14,,
2011/04/28,116.66,116.9,116.66,116.9,0,,
2011/04/29,116.67,117.12,116.67,117.12,0,,
2011/05/02,118.1,118.33,117.28,117.28,325,,
2011/05/03,117.28,117.28,116.6,116.6,20,,
2011/05/04,116.18,116.18,115,115.1,25,,
2011/05/05,115.46,116.19,115.46,116.19,0,,
2011/05/06,116.51,118.06,114.3,118.06,195,,
2011/05/09,117.92,118.66,117.92,118.66,21,,
2011/05/10,118.63,119.06,118.63,119.06,170,,
2011/05/11,119.27,119.43,119.27,119.43,0,,
2011/05/12,118.58,118.87,118.52,118.87,9518,,
2011/05/13,119.28,119.28,118.89,118.89,0,,
2011/05/16,118.39,118.52,118.12,118.52,1025,,
2011/05/17,118.11,118.11,117.25,117.25,21,,
2011/05/18,117.82,117.82,117.52,117.72,11091,,
2011/05/19,118.34,119.03,118.12,118.12,1018,,
2011/05/20,118.23,118.52,118.1,118.1,4805,,
2011/05/23,117.41,117.41,117.41,117.41,0,,
2011/05/24,116.79,117.28,116.79,117.28,0,,
2011/05/25,116.94,117.71,116.94,117.71,0,,
2011/05/26,117.68,117.8,117.68,117.76,6,,
2011/05/27,117.94,118,117.82,118,179,,
2011/05/30,117.81,118.03,117.81,118.03,5101,,
2011/05/31,118.07,118.13,118.07,118.11,4414,,
2011/06/01,118.09,118.15,116.85,116.85,3505,,
2011/06/02,115.96,115.96,115.07,115.07,0,,
2011/06/03,114.95,114.95,113.9,113.96,3551,,
2011/06/06,113.13,113.13,113.13,113.13,0,,
2011/06/07,112.8,112.97,112.74,112.74,2009,,
2011/06/08,112.44,112.44,112.04,112.44,2407,,
2011/06/09,112.13,113.54,112.1,113.38,3545,,
2011/06/10,113.29,113.29,112.71,112.71,30,,
2011/06/13,112.88,112.88,112.76,112.76,0,,
